#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
31009#41697#60,0#retired#married#primary#no#1588,0#no#no#cellular#6#oct#1.0#-1,0#0#unknown#yes
31010#10435#46,0#management#single#tertiary#no#2223,0#no#no#unknown#12#jun#3.0#-1,0#0#unknown#no
31011#24558#52,0#management#married#unknown#no#672,0#no#yes#cellular#17#nov#1.0#-1,0#0#unknown#no
31012#45010#43,0#technician#married#secondary#no#297,0#yes#no#cellular#14#oct#3.0#-1,0#0#unknown#no
31013#1574#38,0#blue-collar#married#secondary#no#468,0#yes#no#unknown#8#may#2.0#-1,0#0#unknown#no
31014#43781#33,0#services#single#secondary#no#152,0#yes#no#cellular#25#may#2.0#365,0#2#success#yes
31015#12567#47,0#blue-collar#married#primary#no#-187,0#no#no#unknown#3#jul#1.0#-1,0#0#unknown#no
31016#6937#54,0#retired#married#secondary#no#24,0#yes#no#unknown#28#may#1.0#-1,0#0#unknown#no
31017#24932#32,0#management#married#tertiary#no#258,0#yes#yes#cellular#18#nov#1.0#-1,0#0#unknown#no
31018#39283#25,0#blue-collar#single#secondary#no#286,0#yes#no#cellular#18#may#2.0#-1,0#0#unknown#no
31019#31886#42,0#management#married#tertiary#no#1773,0#no#no#cellular#9#apr#1.0#336,0#1#failure#no
31020#22634#33,0#unknown#married#tertiary#no#8971,0#no#no#cellular#22#aug#1.0#-1,0#0#unknown#no
31021#11847#57,0#management#married#tertiary#no#-92,0#yes#yes#unknown#20#jun#1.0#-1,0#0#unknown#yes
31022#21908#41,0#technician#married#secondary#no#248,0#no#no#cellular#20#aug#2.0#-1,0#0#unknown#no
31023#1236#37,0#blue-collar#single#secondary#no#134,0#yes#no#unknown#8#may#1.0#-1,0#0#unknown#no
31024#7288#44,0#management#married#secondary#no#27,0#yes#no#unknown#29#may#1.0#-1,0#0#unknown#no
31025#24290#57,0#technician#married#secondary#no#1469,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
31026#13608#34,0#services#married#secondary#no#81,0#yes#yes#cellular#9#jul#1.0#-1,0#0#unknown#no
31027#8217#48,0#entrepreneur#married#secondary#no#2247,0#yes#no#unknown#2#jun#9.0#-1,0#0#unknown#no
31028#8332#43,0#blue-collar#married#secondary#no#4309,0#yes#no#unknown#2#jun#15.0#-1,0#0#unknown#no
31029#30479#39,0#management#married#tertiary#no#2976,0#no#no#cellular#5#feb#12.0#-1,0#0#unknown#no
31030#18822#50,0#unemployed#married#secondary#no#297,0#yes#no#cellular#31#jul#10.0#-1,0#0#unknown#no
31031#41938#68,0#retired#single#tertiary#no#2144,0#no#no#cellular#22#oct#1.0#184,0#2#success#yes
31032#29246#27,0#blue-collar#married#primary#no#0,0#no#no#telephone#2#feb#1.0#-1,0#0#unknown#no
31033#18580#50,0#management#single#tertiary#no#6030,0#yes#no#cellular#31#jul#3.0#-1,0#0#unknown#no
31034#39871#34,0#self-employed#married#tertiary#no#2427,0#no#no#telephone#2#jun#2.0#120,0#1#other#no
31035#10060#48,0#services#married#secondary#no#11516,0#no#no#unknown#11#jun#8.0#-1,0#0#unknown#no
31036#24293#51,0#technician#married#tertiary#no#0,0#no#no#telephone#17#nov#1.0#-1,0#0#unknown#no
31037#21984#60,0#admin.#married#tertiary#no#1614,0#no#no#cellular#20#aug#6.0#-1,0#0#unknown#yes
31038#8807#28,0#blue-collar#married#secondary#no#509,0#yes#yes#unknown#4#jun#2.0#-1,0#0#unknown#no
31039#12572#47,0#technician#married#secondary#no#-149,0#no#yes#unknown#3#jul#1.0#-1,0#0#unknown#no
31040#20316#35,0#technician#married#secondary#no#289,0#yes#no#cellular#11#aug#10.0#-1,0#0#unknown#no
31041#21317#60,0#retired#married#secondary#no#8121,0#yes#yes#cellular#18#aug#7.0#-1,0#0#unknown#no
31042#3913#55,0#services#married#unknown#no#-45,0#yes#no#unknown#16#may#7.0#-1,0#0#unknown#no
31043#15651#30,0#technician#divorced#secondary#no#0,0#no#no#cellular#21#jul#1.0#-1,0#0#unknown#no
31044#41390##admin.#single#tertiary#no#4129,0#no#no#cellular#1#sep#1.0#-1,0#0#unknown#no
31045#16047#36,0#admin.#married#tertiary#no#0,0#yes#no#cellular#22#jul#1.0#-1,0#0#unknown#no
31046#18872#46,0#blue-collar#married#primary#no#783,0#yes#no#cellular#4#aug#1.0#-1,0#0#unknown#no
31047#40151#55,0#housemaid#married#unknown#no#366,0#no#no#cellular#5#jun#3.0#57,0#2#other#yes
31048#13190#30,0#services#married#secondary#no#2261,0#yes#yes#cellular#8#jul#2.0#-1,0#0#unknown#no
31049#15671##admin.#married#tertiary#no#0,0#yes#no#cellular#21#jul#1.0#-1,0#0#unknown#no
31050#35156#25,0#services#married#secondary#no#10,0#yes#no#cellular#7#may#1.0#294,0#1#failure#no
31051#16801#44,0#blue-collar#married#primary#no#658,0#yes#no#telephone#24#jul#2.0#-1,0#0#unknown#no
31052#25411#35,0#technician#married#secondary#no#2019,0#yes#yes#cellular#18#nov#2.0#144,0#1#failure#no
31053#41528#32,0#self-employed#married#tertiary#no#1676,0#yes#no#cellular#9#sep#2.0#-1,0#0#unknown#no
31054#5986#24,0#management#single#tertiary#no#66,0#yes#no#unknown#26#may#2.0#-1,0#0#unknown#no
31055#1735#29,0#blue-collar#married#primary#yes#-43,0#yes#no#unknown#9#may#1.0#-1,0#0#unknown#no
31056#28339##admin.#single#secondary#no#268,0#no#yes#cellular#29#jan#1.0#-1,0#0#unknown#no
31057#24798#31,0#management#married#tertiary#no#2,0#yes#no#cellular#18#nov#1.0#-1,0#0#unknown#no
31058#38584####secondary#no###no#cellular#15#may###6#other#no
31059#4312#51,0#management#single#tertiary#no#1146,0#yes#yes#unknown#19#may#4.0#-1,0#0#unknown#no
31060#36471#54,0#admin.#married#secondary#no#956,0#yes#yes#telephone#11#may#2.0#362,0#1#other#no
31061#32575#32,0#blue-collar#married#secondary#no#435,0#yes#no#cellular#17#apr#1.0#331,0#1#failure#no
31062#15278#31,0#services#married#secondary#no#1670,0#no#no#cellular#18#jul#2.0#-1,0#0#unknown#no
31063#35905#50,0#management#divorced#tertiary#no#356,0#no#no#cellular#8#may#2.0#358,0#5#other#no
31064#10954#55,0#entrepreneur#married#secondary#no#5838,0#no#no#unknown#17#jun#2.0#-1,0#0#unknown#no
31065#32266##blue-collar#single#secondary#no#423,0#yes#no#cellular#16#apr#1.0#-1,0#0#unknown#yes
31066#29080#48,0#services#married#secondary#no#74,0#no#no#cellular#2#feb#1.0#-1,0#0#unknown#no
31067#30351#31,0#self-employed#single#tertiary#no#96,0#no#no#cellular#5#feb#1.0#-1,0#0#unknown#no
31068#19146#30,0#technician#married#secondary#no#66,0#no#yes#cellular#5#aug#1.0#-1,0#0#unknown#no
31069#19886#46,0#services#married#secondary#no#1034,0#no#no#cellular#8#aug#2.0#-1,0#0#unknown#no
31070#35244#28,0#blue-collar#married#secondary#no#251,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
31071#32969#31,0#blue-collar#married#primary#no#55,0#yes#yes#cellular#17#apr#2.0#-1,0#0#unknown#no
31072#22442#32,0#technician#single#secondary#no#90,0#no#no#cellular#22#aug#2.0#-1,0#0#unknown#no
31073#18479#51,0#technician#married#tertiary#no#5059,0#yes#no#cellular#31#jul#2.0#-1,0#0#unknown#no
31074#16169#37,0#admin.#married#secondary#no#1396,0#yes#no#cellular#22#jul#2.0#-1,0#0#unknown#no
31075#40446#26,0#self-employed#single#tertiary#no#1393,0#no#no#cellular#3#jul#1.0#-1,0#0#unknown#no
31076#19593##self-employed#married#primary#no#1288,0#no#no#cellular#7#aug#6.0#-1,0#0#unknown#no
31077#84#59,0#admin.#married#secondary#no#2343,0#yes#no#unknown#5#may#1.0#-1,0#0#unknown#yes
31078#24230#39,0#admin.#married#secondary#no#2598,0#no#no#cellular#17#nov#1.0#-1,0#0#unknown#no
31079#11131#36,0#unknown#married#secondary#no#1370,0#no#no#unknown#18#jun#5.0#-1,0#0#unknown#no
31080#36839#28,0#student#single#secondary#no#197,0#yes#no#cellular#12#may#1.0#-1,0#0#unknown#no
31081#40862##services#single#secondary#no#181,0#no#no#cellular#12#aug#1.0#104,0#1#success#yes
31082#6031#31,0#blue-collar#single#secondary#no#823,0#no#no#unknown#26#may#3.0#-1,0#0#unknown#no
31083#28349#44,0#management#married#tertiary#no#149,0#yes#no#cellular#29#jan#1.0#220,0#2#success#no
31084#13257#43,0#blue-collar#divorced#primary#no#328,0#no#yes#cellular#8#jul#1.0#-1,0#0#unknown#no
31085#29643#39,0#management#divorced#tertiary#no#30,0#no#yes#cellular#3#feb#4.0#-1,0#0#unknown#no
31086#17964#30,0#housemaid#married#primary#no#462,0#no#yes#cellular#30#jul#3.0#-1,0#0#unknown#no
31087#13268#32,0#blue-collar#divorced#secondary#no#-299,0#yes#no#cellular#8#jul#2.0#-1,0#0#unknown#no
31088#40749#65,0#unemployed#married#tertiary#no#0,0#no#no#cellular#10#aug#1.0#-1,0#0#unknown#no
31089#38499#26,0#blue-collar#single#primary#no#17,0#yes#no#cellular#15#may#2.0#367,0#2#failure#no
31090#4129#28,0#technician#single#secondary#no#213,0#yes#no#unknown#19#may#1.0#-1,0#0#unknown#no
31091#10392#47,0#blue-collar#married#primary#no#1610,0#yes#no#unknown#12#jun#1.0#-1,0#0#unknown#no
31092#9321#58,0#technician#married#primary#yes#-247,0#no#no#unknown#6#jun#1.0#-1,0#0#unknown#no
31093#1905#37,0#blue-collar#married#secondary#no#790,0#no#no#unknown#9#may#1.0#-1,0#0#unknown#no
31094#11409#55,0#services#married#secondary#no#477,0#no#no#unknown#19#jun#1.0#-1,0#0#unknown#no
31095#23682#42,0#self-employed#married#tertiary#no#0,0#no#no#cellular#28#aug#13.0#-1,0#0#unknown#no
31096#12828#35,0#services#divorced#secondary#no#35,0#yes#no#cellular#7#jul#4.0#-1,0#0#unknown#no
31097#42739#35,0#technician#married#secondary#no#746,0#no#yes#cellular#27#jan#1.0#-1,0#0#unknown#no
31098#22086#36,0#management#married#tertiary#no#35,0#no#no#cellular#21#aug#4.0#-1,0#0#unknown#no
31099#10795#55,0#technician#married#tertiary#no#2512,0#yes#no#unknown#17#jun#1.0#-1,0#0#unknown#no
31100#6412#32,0#services#married#secondary#no#-479,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
31101#26395#31,0#technician#married#secondary#no#450,0#no#yes#cellular#20#nov#2.0#129,0#4#failure#no
31102#6563#36,0#blue-collar#married#primary#no#8326,0#yes#no#unknown#27#may#4.0#-1,0#0#unknown#no
31103#24891#57,0#unemployed#married#secondary#no#1681,0#no#no#cellular#18#nov#1.0#-1,0#0#unknown#no
31104#6570#32,0#technician#married#secondary#yes#-71,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
31105#35802#36,0#management#single#secondary#no#278,0#no#no#cellular#8#may#2.0#-1,0#0#unknown#no
31106#36100#36,0#management#married#tertiary#no#269,0#yes#no#cellular#11#may#2.0#-1,0#0#unknown#no
31107#7509#32,0#management#single#tertiary#no#3886,0#yes#yes#unknown#29#may#7.0#-1,0#0#unknown#no
31108#37800##services#single#unknown#no#608,0#yes#no#cellular#14#may#1.0#-1,0#0#unknown#no
31109#16522#38,0#admin.#divorced#secondary#no#74,0#yes#no#cellular#23#jul#3.0#-1,0#0#unknown#no
31110#12694#34,0#services#married#secondary#no#0,0#no#no#cellular#7#jul#3.0#-1,0#0#unknown#no
31111#15948#33,0#management#single#tertiary#no#30,0#yes#no#cellular#22#jul#1.0#-1,0#0#unknown#yes
31112#30978##management#married#secondary#no#2895,0#yes#no#cellular#9#feb#2.0#256,0#1#failure#no
31113#20048#31,0#technician#single#secondary#no#2846,0#no#no#cellular#8#aug#3.0#-1,0#0#unknown#no
31114#34162#33,0#technician#married#tertiary#no#0,0#no#no#cellular#30#apr#2.0#-1,0#0#unknown#yes
31115#31433#19,0#student#single#primary#no#134,0#no#no#cellular#27#mar#2.0#-1,0#0#unknown#yes
31116#13068#52,0#entrepreneur#married#tertiary#yes#-468,0#no#no#cellular#8#jul#1.0#-1,0#0#unknown#yes
31117#377#38,0#admin.#single#secondary#no#393,0#no#no#unknown#6#may#2.0#-1,0#0#unknown#no
31118#26864#30,0#blue-collar#single#secondary#no#1472,0#yes#no#cellular#20#nov#4.0#-1,0#0#unknown#no
31119#20303#34,0#management#married#tertiary#no#1273,0#no#no#unknown#11#aug#2.0#-1,0#0#unknown#no
31120#28633#39,0#blue-collar#married#secondary#no#472,0#yes#no#cellular#29#jan#5.0#-1,0#0#unknown#no
31121#41199#35,0#management#single#tertiary#no#1756,0#no#no#cellular#20#aug#1.0#-1,0#0#unknown#yes
31122#7916#55,0#technician#divorced#tertiary#no#264,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#no
31123#6995#50,0#technician#divorced#unknown#no#2706,0#yes#no#unknown#28#may#3.0#-1,0#0#unknown#no
31124#21235#59,0#self-employed#married#secondary#no#0,0#no#no#cellular#18#aug#4.0#-1,0#0#unknown#no
31125#30473#31,0#student#single#unknown#no#643,0#no#no#cellular#5#feb#4.0#-1,0#0#unknown#no
31126#7765#29,0#self-employed#single#tertiary#no#579,0#no#no#unknown#30#may#2.0#-1,0#0#unknown#no
31127#5340#39,0#management#married#tertiary#no#12,0#yes#no#unknown#23#may#1.0#-1,0#0#unknown#no
31128#14525##admin.#married#tertiary#no#0,0#yes#no#cellular#15#jul#3.0#-1,0#0#unknown#no
31129#8626#61,0#retired#married#primary#no#296,0#yes#yes#unknown#3#jun#2.0#-1,0#0#unknown#no
31130#10022#46,0#blue-collar#married#primary#no#10333,0#yes#no#unknown#9#jun#4.0#-1,0#0#unknown#no
31131#10199#36,0#management#married#tertiary#no#336,0#no#no#unknown#11#jun#7.0#-1,0#0#unknown#no
31132#38166#28,0#services#single#secondary#no#113,0#yes#yes#cellular#15#may#1.0#-1,0#0#unknown#no
31133#29932#33,0#technician#divorced#secondary#no#3,0#no#no#cellular#4#feb#1.0#-1,0#0#unknown#no
31134#7856#33,0#technician#single#secondary#no#268,0#yes#no#unknown#30#may#9.0#-1,0#0#unknown#no
31135#26158#40,0#blue-collar#married#secondary#no#1039,0#yes#no#cellular#20#nov#2.0#-1,0#0#unknown#no
31136#44180#35,0#management#married#secondary#no#724,0#yes#no#cellular#14#jul#2.0#415,0#1#failure#yes
31137#14898#45,0#management#married#tertiary#no#2,0#yes#no#cellular#16#jul#2.0#-1,0#0#unknown#no
31138#25005#45,0#blue-collar#married#primary#no#147,0#yes#no#cellular#18#nov#1.0#168,0#2#failure#no
31139#41501#19,0#student#single#secondary#no#88,0#no#no#cellular#8#sep#1.0#-1,0#0#unknown#no
31140#2764#27,0#blue-collar#single#secondary#no#14,0#no#no#unknown#14#may#2.0#-1,0#0#unknown#no
31141#12815#25,0#technician#single#tertiary#no#437,0#no#yes#cellular#7#jul#1.0#-1,0#0#unknown#no
31142#26991#33,0#admin.#married#tertiary#no#-1011,0#no#no#cellular#21#nov#1.0#-1,0#0#unknown#no
31143#7555#44,0#services#single#secondary#no#-389,0#yes#no#unknown#30#may#4.0#-1,0#0#unknown#no
31144#36223#48,0#admin.#divorced#secondary#no#1282,0#yes#no#cellular#11#may#2.0#343,0#2#other#no
31145#24410#41,0#technician#divorced#secondary#no#0,0#yes#no#cellular#17#nov#2.0#-1,0#0#unknown#no
31146#18445#46,0#unemployed#married#primary#no#1,0#yes#no#cellular#31#jul#2.0#-1,0#0#unknown#no
31147#15847#25,0#admin.#single#secondary#no#289,0#yes#no#cellular#21#jul#3.0#-1,0#0#unknown#no
31148#27558#36,0#management#married#tertiary#no#396,0#no#no#cellular#21#nov#2.0#100,0#5#failure#no
31149#16780#35,0#services#married#secondary#no#0,0#yes#no#cellular#24#jul#1.0#-1,0#0#unknown#no
31150#14181#28,0#blue-collar#married#primary#no#565,0#no#no#cellular#11#jul#2.0#-1,0#0#unknown#no
31151#27783#37,0#unemployed#divorced#secondary#no#57,0#yes#no#cellular#28#jan#1.0#-1,0#0#unknown#no
31152#18530#32,0#blue-collar#married#secondary#no#7365,0#yes#no#cellular#31#jul#5.0#-1,0#0#unknown#no
31153#18770##management#married#tertiary#no#4374,0#yes#no#cellular#31#jul#3.0#-1,0#0#unknown#no
31154#8034##technician#married#tertiary#no#691,0#yes#yes#unknown#2#jun#1.0#-1,0#0#unknown#no
31155#2473#30,0#blue-collar#married#secondary#no#-166,0#yes#yes#unknown#13#may#5.0#-1,0#0#unknown#no
31156#8326#37,0#blue-collar#married#secondary#no#954,0#yes#no#unknown#2#jun#9.0#-1,0#0#unknown#no
31157#32762#49,0#blue-collar#married#primary#no#816,0#yes#no#cellular#17#apr#1.0#260,0#7#failure#no
31158#15840#27,0#management#married#tertiary#no#1109,0#yes#no#cellular#21#jul#5.0#-1,0#0#unknown#no
31159#39728##admin.#married#secondary#no#1671,0#no#no#cellular#28#may#2.0#-1,0#0#unknown#no
31160#24455#42,0#blue-collar#married#secondary#no#179,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
31161#37630#31,0#blue-collar#married#primary#no#554,0#yes#no#cellular#14#may#1.0#352,0#5#failure#no
31162#27793#52,0#services#married#secondary#no#393,0#yes#yes#cellular#28#jan#1.0#182,0#8#failure#no
31163#40225#31,0#blue-collar#divorced#secondary#no#15187,0#no#no#cellular#12#jun#2.0#-1,0#0#unknown#no
31164#7389#42,0#entrepreneur#married#secondary#no#0,0#yes#yes#unknown#29#may#3.0#-1,0#0#unknown#no
31165#32377#43,0#admin.#married#secondary#no#1138,0#no#no#cellular#16#apr#2.0#-1,0#0#unknown#no
31166#17568#51,0#technician#married#secondary#no#-396,0#yes#no#cellular#29#jul#6.0#-1,0#0#unknown#no
31167#1514#37,0#services#married#secondary#no#22,0#yes#yes#unknown#8#may#1.0#-1,0#0#unknown#no
31168#779#43,0#blue-collar#married#primary#no#-454,0#yes#no#unknown#7#may#2.0#-1,0#0#unknown#no
31169#16841##admin.#divorced#secondary#no#121,0#yes#no#cellular#24#jul#2.0#-1,0#0#unknown#no
31170#16862#56,0#management#divorced#tertiary#no#55,0#no#yes#cellular#25#jul#2.0#-1,0#0#unknown#no
31171#10394#45,0#management#married#primary#no#0,0#no#yes#unknown#12#jun#1.0#-1,0#0#unknown#no
31172#12417#49,0#admin.#divorced#secondary#no#2169,0#yes#no#unknown#30#jun#3.0#-1,0#0#unknown#no
31173#13531#32,0#housemaid#married#secondary#no#216,0#no#yes#cellular#9#jul#6.0#-1,0#0#unknown#no
31174#27924#58,0#management#married#tertiary#no#1271,0#yes#no#cellular#28#jan#1.0#-1,0#0#unknown#no
31175#27031#30,0#technician#married#secondary#no#239,0#yes#no#cellular#21#nov#2.0#95,0#8#failure#no
31176#22970#49,0#unemployed#married#primary#no#50,0#no#no#cellular#26#aug#2.0#-1,0#0#unknown#no
31177#2329#35,0#blue-collar#married#primary#no#414,0#no#no#unknown#13#may#4.0#-1,0#0#unknown#yes
31178#22118#42,0#management#single#tertiary#yes#0,0#no#yes#cellular#21#aug#5.0#-1,0#0#unknown#no
31179#30960##technician#single#tertiary#no#673,0#yes#no#cellular#9#feb#3.0#-1,0#0#unknown#yes
31180#33353#35,0#management#married#tertiary#no#2123,0#yes#no#cellular#20#apr#1.0#273,0#3#failure#no
31181#18302#41,0#management#single#tertiary#no#0,0#no#no#cellular#31#jul#4.0#-1,0#0#unknown#no
31182#34038##management#married#tertiary#no#4733,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#yes
31183#32229#29,0#blue-collar#single#secondary#no#2553,0#yes#no#cellular#16#apr#1.0#-1,0#0#unknown#no
31184#17190#46,0#services#married#secondary#no#53,0#no#yes#cellular#28#jul#3.0#-1,0#0#unknown#no
31185#41014#34,0#management#single#tertiary#no#2279,0#no#no#cellular#13#aug#1.0#-1,0#0#unknown#no
31186#27100#56,0#services#married#secondary#no#22196,0#yes#no#cellular#21#nov#1.0#-1,0#0#unknown#no
31187#40118#60,0#retired#married#primary#no#55,0#no#no#cellular#4#jun#1.0#-1,0#0#unknown#no
31188#24341#50,0#management#married#tertiary#no#2479,0#no#no#cellular#17#nov#1.0#-1,0#0#unknown#no
31189#17576#56,0#blue-collar#married#unknown#no#6710,0#no#no#cellular#29#jul#2.0#-1,0#0#unknown#no
31190#8901#57,0#blue-collar#married#primary#no#2892,0#yes#no#unknown#4#jun#5.0#-1,0#0#unknown#no
31191#9352#33,0#blue-collar#married#primary#no#3704,0#yes#no#unknown#6#jun#2.0#-1,0#0#unknown#no
31192#22344#30,0#technician#single#tertiary#no#0,0#no#no#cellular#22#aug#2.0#-1,0#0#unknown#no
31193#33807#52,0#admin.#married#secondary#no#722,0#no#no#cellular#24#apr#3.0#-1,0#0#unknown#no
31194#15601##blue-collar#married#secondary#no#0,0#no#no#cellular#21#jul#2.0#-1,0#0#unknown#no
31195#25837#32,0#admin.#single#secondary#no#8619,0#yes#no#cellular#19#nov#2.0#-1,0#0#unknown#no
31196#33921##management#divorced#tertiary#no#5701,0#no#no#cellular#30#apr#1.0#87,0#1#success#yes
31197#763#57,0#technician#married#secondary#no#402,0#yes#no#unknown#6#may#3.0#-1,0#0#unknown#no
31198#38588#39,0#technician#single#tertiary#no#1674,0#no#no#cellular#15#may#10.0#178,0#1#failure#no
31199#34850#31,0#student#single#unknown#no#2882,0#yes#no#cellular#6#may#2.0#-1,0#0#unknown#no
31200#27067#32,0#unemployed#single#primary#yes#0,0#no#no#cellular#21#nov#1.0#-1,0#0#unknown#no
31201#4764#35,0#blue-collar#married#secondary#no#274,0#yes#no#unknown#20#may#1.0#-1,0#0#unknown#no
31202#32783#33,0#technician#married#secondary#no#9305,0#yes#no#cellular#17#apr#2.0#-1,0#0#unknown#no
31203#41647#25,0#student#single#tertiary#no#5,0#no#no#cellular#29#sep#1.0#-1,0#0#unknown#no
31204#9267#26,0#blue-collar#married#secondary#no#986,0#yes#no#unknown#5#jun#3.0#-1,0#0#unknown#no
31205#7746#51,0#housemaid#married#tertiary#no#3122,0#yes#no#unknown#30#may#2.0#-1,0#0#unknown#no
31206#43531#42,0#self-employed#married#secondary#no#1216,0#yes#no#cellular#23#apr#1.0#521,0#1#failure#yes
31207#8900##blue-collar#married#primary#no#162,0#yes#no#unknown#4#jun#4.0#-1,0#0#unknown#no
31208#21990#37,0#management#married#tertiary#no#16,0#no#no#cellular#20#aug#1.0#-1,0#0#unknown#no
31209#35397#35,0#blue-collar#single#secondary#no#2227,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
31210#34989#26,0#entrepreneur#married#tertiary#no#37,0#yes#yes#cellular#6#may#1.0#363,0#2#failure#no
31211#2386#42,0#unemployed#married#secondary#no#135,0#yes#no#unknown#13#may#6.0#-1,0#0#unknown#no
31212#13350#28,0#blue-collar#married#primary#no#-469,0#yes#no#cellular#8#jul#3.0#-1,0#0#unknown#no
31213#25225#30,0#blue-collar#married#secondary#no#246,0#yes#no#cellular#18#nov#2.0#113,0#5#failure#no
31214#5387#41,0#technician#married#tertiary#no#-762,0#yes#yes#unknown#23#may#1.0#-1,0#0#unknown#no
31215#13600##retired#married#secondary#no#343,0#no#yes#cellular#9#jul#1.0#-1,0#0#unknown#no
31216#37192#37,0#management#married#tertiary#no#596,0#yes#no#cellular#13#may#1.0#345,0#2#failure#no
31217#28802##services#single#secondary#no#511,0#yes#yes#cellular#30#jan#1.0#252,0#1#failure#no
31218#4111#34,0#blue-collar#married#primary#no#46,0#yes#yes#unknown#19#may#1.0#-1,0#0#unknown#no
31219#1207#40,0#technician#married#tertiary#no#103,0#yes#no#unknown#8#may#2.0#-1,0#0#unknown#no
31220#29166#34,0#management#married#tertiary#no#490,0#yes#no#cellular#2#feb#1.0#-1,0#0#unknown#no
31221#32588#30,0#services#single#secondary#no#595,0#yes#no#cellular#17#apr#1.0#-1,0#0#unknown#no
31222#8063#32,0#management#single#tertiary#no#3237,0#yes#no#unknown#2#jun#2.0#-1,0#0#unknown#no
31223#43680#33,0#services#married#secondary#no#386,0#no#no#cellular#12#may#1.0#181,0#5#success#yes
31224#3028#36,0#admin.#married#secondary#no#998,0#yes#no#unknown#14#may#2.0#-1,0#0#unknown#no
31225#26767#34,0#management#single#tertiary#no#1310,0#no#yes#cellular#20#nov#3.0#-1,0#0#unknown#no
31226#22514#35,0#self-employed#married#secondary#no#1256,0#yes#no#cellular#22#aug#7.0#-1,0#0#unknown#no
31227#9720#53,0#retired#divorced#primary#no#2997,0#no#no#unknown#9#jun#1.0#-1,0#0#unknown#no
31228#32289#25,0#management#single#tertiary#no#3,0#yes#yes#cellular#16#apr#1.0#-1,0#0#unknown#yes
31229#35894#28,0#services#single#secondary#no#430,0#yes#no#cellular#8#may#2.0#350,0#2#failure#no
31230#39953##technician#married#secondary#no#0,0#no#no#cellular#2#jun#3.0#-1,0#0#unknown#yes
31231#34454#36,0#blue-collar#married#secondary#no#80,0#yes#yes#cellular#5#may#1.0#165,0#4#failure#no
31232#31473#38,0#blue-collar#single#tertiary#no#172,0#yes#no#cellular#1#apr#1.0#-1,0#0#unknown#yes
31233#4958#32,0#blue-collar#single#secondary#no#1067,0#yes#no#unknown#21#may#2.0#-1,0#0#unknown#no
31234#22743#59,0#blue-collar#married#primary#no#-546,0#no#no#cellular#25#aug#6.0#-1,0#0#unknown#yes
31235#43080#22,0#student#single#unknown#no#1215,0#no#no#cellular#19#feb#3.0#192,0#1#failure#yes
31236#22193#55,0#blue-collar#married#primary#no#400,0#no#no#cellular#21#aug#4.0#-1,0#0#unknown#no
31237#15094#30,0#management#married#tertiary#no#931,0#no#no#cellular#17#jul#1.0#-1,0#0#unknown#no
31238#20397#33,0#unknown#married#secondary#no#335,0#no#no#cellular#11#aug#7.0#-1,0#0#unknown#no
31239#26704#31,0#admin.#married#secondary#no#3052,0#yes#yes#cellular#20#nov#2.0#177,0#2#failure#no
31240#11311#50,0#unemployed#married#secondary#no#193,0#yes#no#unknown#18#jun#6.0#-1,0#0#unknown#no
31241#35317#57,0#management#married#tertiary#no#779,0#yes#no#cellular#7#may#1.0#367,0#1#failure#no
31242#42601#70,0#retired#married#primary#no#2795,0#no#no#cellular#8#jan#2.0#-1,0#0#unknown#yes
31243#25792#47,0#blue-collar#married#secondary#no#538,0#no#yes#cellular#19#nov#1.0#-1,0#0#unknown#no
31244#42667#49,0#technician#married#primary#no#1569,0#no#no#cellular#14#jan#1.0#196,0#1#other#no
31245#23263#33,0#technician#married#tertiary#no#1020,0#no#no#cellular#27#aug#4.0#-1,0#0#unknown#no
31246#33383#50,0#management#divorced#tertiary#no#516,0#yes#yes#cellular#20#apr#1.0#-1,0#0#unknown#no
31247#43629##management#married#tertiary#no#451,0#no#no#cellular#5#may#1.0#274,0#3#failure#no
31248#30263#29,0#admin.#single#secondary#no#1261,0#no#no#cellular#5#feb#1.0#-1,0#0#unknown#no
31249#31024##management#divorced#tertiary#no#373,0#no#no#cellular#10#feb#6.0#-1,0#0#unknown#yes
31250#16027#60,0#housemaid#married#primary#no#0,0#no#yes#telephone#22#jul#1.0#-1,0#0#unknown#no
31251#30078#30,0#admin.#married#secondary#yes#23,0#no#yes#cellular#4#feb#2.0#-1,0#0#unknown#no
31252#31768#54,0#technician#married#secondary#no#3323,0#yes#yes#cellular#8#apr#3.0#-1,0#0#unknown#no
31253#6788#32,0#admin.#single#secondary#no#294,0#yes#no#unknown#28#may#2.0#-1,0#0#unknown#no
31254#35503#42,0#blue-collar#married#primary#no#0,0#yes#yes#cellular#7#may#2.0#-1,0#0#unknown#no
31255#37618##blue-collar#married#secondary#no#49,0#yes#no#cellular#14#may#1.0#370,0#2#failure#no
