ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
43868§62,0§management§married§tertiary§no§5008,0§no§no§telephone§4§jun§2,0§-1,0§0§unknown§
43871§§technician§single§tertiary§no§1066,0§no§no§cellular§4§jun§1,0§50,0§1§success§
43872§62,0§management§married§tertiary§no§0,0§yes§yes§cellular§4§jun§1,0§64,0§3§failure§
43876§56,0§admin.§married§secondary§no§699,0§no§no§unknown§7§jun§1,0§-1,0§0§unknown§
43878§68,0§retired§married§unknown§no§3701,0§no§no§telephone§8§jun§1,0§-1,0§0§unknown§
43880§§technician§divorced§secondary§no§2823,0§yes§no§cellular§8§jun§1,0§371,0§6§failure§
43881§35,0§management§single§tertiary§no§3544,0§yes§no§cellular§8§jun§1,0§-1,0§0§unknown§
43883§63,0§retired§divorced§secondary§no§1490,0§no§no§cellular§8§jun§1,0§-1,0§0§unknown§
43886§34,0§admin.§married§secondary§no§592,0§yes§no§unknown§8§jun§1,0§-1,0§0§unknown§
43893§28,0§management§single§tertiary§no§187,0§no§no§cellular§9§jun§1,0§92,0§1§success§
43894§80,0§retired§married§secondary§no§8304,0§no§no§telephone§9§jun§1,0§64,0§12§failure§
43895§§blue-collar§married§secondary§no§276,0§no§no§cellular§9§jun§2,0§-1,0§0§unknown§
43899§39,0§services§married§secondary§no§323,0§no§no§cellular§9§jun§2,0§188,0§6§failure§
43902§50,0§technician§single§tertiary§no§2,0§no§no§unknown§10§jun§1,0§-1,0§0§unknown§
43909§58,0§management§married§tertiary§no§256,0§no§no§cellular§14§jun§1,0§186,0§4§success§
43915§§unemployed§single§secondary§no§304,0§no§no§cellular§14§jun§1,0§-1,0§0§unknown§
43919§30,0§admin.§married§secondary§no§166,0§no§no§unknown§14§jun§1,0§-1,0§0§unknown§
43926§37,0§admin.§married§tertiary§no§3221,0§no§no§cellular§15§jun§2,0§376,0§13§other§
43928§59,0§retired§divorced§primary§no§1194,0§yes§no§cellular§15§jun§4,0§389,0§2§failure§
43929§35,0§technician§married§secondary§no§294,0§yes§no§cellular§15§jun§6,0§98,0§5§success§
43934§64,0§retired§married§secondary§no§3189,0§no§no§telephone§15§jun§1,0§-1,0§0§unknown§
43938§66,0§housemaid§married§primary§no§1230,0§no§no§cellular§16§jun§6,0§181,0§3§success§
43939§30,0§management§single§tertiary§no§572,0§no§no§cellular§17§jun§3,0§183,0§2§success§
43940§38,0§blue-collar§married§primary§no§1630,0§yes§no§cellular§17§jun§3,0§94,0§19§other§
43943§30,0§services§divorced§secondary§no§436,0§yes§no§cellular§17§jun§1,0§-1,0§0§unknown§
43950§46,0§blue-collar§married§secondary§no§1723,0§no§no§cellular§17§jun§2,0§52,0§7§failure§
43956§60,0§management§married§primary§no§8334,0§no§no§cellular§18§jun§1,0§49,0§7§other§
43961§§retired§married§secondary§no§2011,0§no§no§cellular§22§jun§1,0§578,0§2§failure§
43962§57,0§management§divorced§tertiary§no§3287,0§no§no§cellular§22§jun§1,0§84,0§3§success§
43963§32,0§admin.§single§secondary§no§131,0§yes§no§cellular§22§jun§1,0§183,0§2§success§
43967§33,0§management§single§tertiary§no§224,0§no§no§cellular§23§jun§2,0§107,0§2§success§
43971§59,0§management§married§tertiary§no§5397,0§no§no§cellular§23§jun§3,0§-1,0§0§unknown§
43975§75,0§retired§married§secondary§no§468,0§no§no§telephone§24§jun§1,0§-1,0§0§unknown§
43985§37,0§admin.§divorced§secondary§no§450,0§yes§yes§unknown§24§jun§1,0§-1,0§0§unknown§
43986§§§§secondary§no§§§no§unknown§24§jun§§§0§unknown§
43990§42,0§technician§divorced§tertiary§no§2611,0§yes§no§cellular§25§jun§1,0§389,0§3§failure§
43992§57,0§unemployed§married§secondary§no§1350,0§no§no§cellular§25§jun§1,0§388,0§1§failure§
43993§30,0§technician§single§secondary§no§938,0§no§no§cellular§25§jun§1,0§141,0§3§other§
43994§45,0§technician§married§tertiary§no§1818,0§yes§yes§cellular§25§jun§1,0§142,0§5§success§
44005§47,0§management§single§tertiary§no§334,0§yes§no§cellular§28§jun§3,0§94,0§9§success§
44006§38,0§management§single§tertiary§no§623,0§no§no§cellular§28§jun§4,0§144,0§4§other§
44007§48,0§management§single§tertiary§no§86,0§no§no§cellular§28§jun§3,0§186,0§6§other§
44009§55,0§housemaid§divorced§primary§no§976,0§no§no§cellular§28§jun§1,0§94,0§3§other§
44018§57,0§unknown§married§primary§no§1884,0§no§no§telephone§28§jun§4,0§-1,0§0§unknown§
44019§67,0§retired§married§primary§no§2391,0§no§no§cellular§28§jun§6,0§186,0§10§other§
44025§41,0§admin.§married§secondary§no§3126,0§yes§no§cellular§29§jun§1,0§91,0§7§failure§
44031§33,0§management§single§tertiary§no§718,0§yes§no§cellular§29§jun§1,0§84,0§3§success§
44035§50,0§technician§married§tertiary§no§5114,0§no§no§telephone§29§jun§2,0§153,0§2§other§
44036§32,0§technician§divorced§tertiary§no§3255,0§no§no§cellular§29§jun§2,0§-1,0§0§unknown§
44040§32,0§student§single§tertiary§no§64,0§no§no§cellular§30§jun§4,0§105,0§5§failure§
44043§19,0§student§single§secondary§no§424,0§no§no§cellular§30§jun§3,0§195,0§2§other§
44047§43,0§management§single§tertiary§no§0,0§no§no§cellular§30§jun§2,0§296,0§1§failure§
44049§39,0§technician§married§secondary§no§4861,0§yes§no§telephone§30§jun§1,0§183,0§2§other§
44052§72,0§retired§single§tertiary§no§1285,0§no§no§telephone§1§jul§4,0§150,0§9§failure§
44058§63,0§retired§married§secondary§no§2896,0§no§no§cellular§1§jul§1,0§119,0§2§success§
44062§53,0§services§divorced§secondary§no§36,0§yes§yes§unknown§2§jul§1,0§417,0§1§success§
44065§35,0§blue-collar§married§secondary§no§262,0§no§no§cellular§2§jul§2,0§109,0§4§success§
44066§31,0§services§single§secondary§no§1027,0§no§no§cellular§2§jul§3,0§-1,0§0§unknown§
44067§§retired§married§tertiary§no§1948,0§no§no§cellular§2§jul§2,0§155,0§5§success§
44068§43,0§technician§divorced§unknown§no§4389,0§no§no§telephone§2§jul§2,0§85,0§1§success§
44069§32,0§self-employed§single§tertiary§no§4024,0§yes§no§cellular§2§jul§1,0§-1,0§0§unknown§
44074§56,0§blue-collar§married§primary§no§1014,0§no§no§unknown§2§jul§1,0§-1,0§0§unknown§
44075§35,0§self-employed§single§tertiary§no§398,0§no§no§cellular§5§jul§3,0§-1,0§0§unknown§
44077§32,0§student§single§secondary§no§61,0§no§yes§cellular§5§jul§3,0§515,0§7§failure§
44082§24,0§admin.§single§tertiary§no§674,0§yes§no§cellular§6§jul§1,0§-1,0§0§unknown§
44083§§management§single§tertiary§no§623,0§no§no§cellular§6§jul§3,0§194,0§2§failure§
44087§30,0§management§married§tertiary§no§69,0§yes§no§unknown§6§jul§1,0§-1,0§0§unknown§
44090§37,0§technician§married§secondary§no§432,0§yes§no§cellular§6§jul§3,0§776,0§55§failure§
44095§§management§single§tertiary§no§1808,0§no§no§cellular§7§jul§2,0§433,0§1§success§
44098§47,0§management§single§tertiary§no§6651,0§no§no§cellular§8§jul§1,0§412,0§2§failure§
44103§80,0§retired§married§secondary§no§668,0§no§no§telephone§8§jul§1,0§371,0§1§success§
44106§23,0§student§single§secondary§no§1809,0§no§no§cellular§8§jul§2,0§-1,0§0§unknown§
44111§19,0§student§single§secondary§no§372,0§no§no§telephone§8§jul§3,0§-1,0§0§unknown§
44113§27,0§admin.§single§secondary§no§914,0§no§no§cellular§8§jul§2,0§-1,0§0§unknown§
44117§36,0§technician§single§secondary§no§966,0§no§no§cellular§9§jul§9,0§367,0§4§other§
44119§29,0§management§single§secondary§no§966,0§no§no§cellular§9§jul§1,0§396,0§2§other§
44122§27,0§student§divorced§unknown§no§383,0§no§no§unknown§9§jul§1,0§-1,0§0§unknown§
44126§§admin.§married§secondary§no§457,0§no§no§unknown§12§jul§1,0§-1,0§0§unknown§
44128§74,0§retired§married§primary§no§5539,0§no§no§cellular§12§jul§2,0§159,0§3§failure§
44131§50,0§entrepreneur§divorced§tertiary§no§315,0§no§no§cellular§12§jul§2,0§185,0§2§failure§
44132§27,0§management§single§secondary§no§843,0§no§no§cellular§12§jul§2,0§185,0§1§success§
44134§43,0§admin.§single§secondary§no§386,0§no§no§cellular§12§jul§3,0§529,0§1§failure§
44141§36,0§management§married§tertiary§no§93,0§no§no§cellular§12§jul§2,0§182,0§7§failure§
44144§72,0§admin.§married§primary§no§2321,0§no§no§cellular§12§jul§6,0§122,0§6§other§
44150§33,0§management§single§tertiary§no§1962,0§no§no§cellular§13§jul§1,0§181,0§1§failure§
44158§§unemployed§married§tertiary§no§330,0§no§no§cellular§13§jul§1,0§181,0§3§success§
44159§22,0§student§single§secondary§no§71,0§no§no§cellular§13§jul§1,0§181,0§2§success§
44160§36,0§services§married§unknown§no§618,0§no§no§cellular§13§jul§1,0§335,0§2§success§
44161§40,0§management§married§tertiary§no§4539,0§no§no§cellular§13§jul§3,0§439,0§1§failure§
44162§25,0§technician§single§tertiary§yes§160,0§no§yes§unknown§13§jul§1,0§-1,0§0§unknown§
44164§26,0§blue-collar§single§secondary§no§2007,0§no§no§cellular§13§jul§3,0§182,0§2§success§
44165§51,0§management§married§tertiary§no§3463,0§no§yes§cellular§13§jul§2,0§166,0§3§other§
44166§27,0§admin.§single§tertiary§no§4738,0§no§no§cellular§13§jul§1,0§-1,0§0§unknown§
44167§46,0§admin.§divorced§secondary§no§99,0§no§no§unknown§14§jul§1,0§-1,0§0§unknown§
44169§24,0§student§single§primary§no§1235,0§no§no§cellular§14§jul§4,0§93,0§6§other§
44170§23,0§student§single§secondary§no§1298,0§no§no§cellular§14§jul§1,0§-1,0§0§unknown§
44173§30,0§technician§single§secondary§no§1112,0§no§no§cellular§14§jul§3,0§-1,0§0§unknown§
44176§27,0§student§single§unknown§no§132,0§no§no§cellular§14§jul§1,0§-1,0§0§unknown§
44179§68,0§retired§divorced§secondary§no§4189,0§no§no§telephone§14§jul§2,0§-1,0§0§unknown§
44181§30,0§admin.§married§secondary§no§222,0§no§no§telephone§14§jul§9,0§-1,0§0§unknown§
44184§66,0§retired§married§secondary§no§154,0§no§no§cellular§15§jul§5,0§181,0§2§failure§
44185§36,0§blue-collar§single§tertiary§no§1830,0§no§no§cellular§15§jul§5,0§181,0§6§failure§
44189§47,0§admin.§married§secondary§no§3676,0§no§no§cellular§15§jul§2,0§342,0§1§other§
44193§68,0§retired§married§secondary§no§2469,0§yes§no§telephone§15§jul§2,0§-1,0§0§unknown§
44196§57,0§blue-collar§married§primary§no§3498,0§no§no§cellular§15§jul§2,0§456,0§2§success§
44198§61,0§retired§married§secondary§no§938,0§no§no§cellular§15§jul§2,0§183,0§3§success§
44202§35,0§services§married§secondary§no§2918,0§no§yes§cellular§16§jul§2,0§407,0§3§success§
44206§64,0§retired§married§secondary§no§588,0§no§no§cellular§16§jul§1,0§179,0§3§success§
44207§26,0§admin.§married§secondary§no§2469,0§no§no§cellular§16§jul§8,0§-1,0§0§unknown§
44210§52,0§technician§married§tertiary§no§2506,0§no§no§cellular§16§jul§1,0§228,0§3§failure§
44216§48,0§unemployed§married§secondary§no§817,0§no§no§cellular§16§jul§3,0§183,0§5§success§
44219§42,0§management§divorced§tertiary§no§5037,0§no§no§cellular§16§jul§6,0§84,0§14§success§
44220§33,0§technician§married§secondary§no§183,0§no§no§cellular§16§jul§2,0§182,0§3§other§
44223§30,0§self-employed§married§secondary§no§123,0§no§yes§unknown§17§jul§1,0§85,0§5§other§
44233§45,0§management§married§tertiary§no§31472,0§no§no§cellular§19§jul§7,0§-1,0§0§unknown§
44234§44,0§management§single§tertiary§no§1090,0§no§no§cellular§19§jul§4,0§532,0§2§other§
44236§§blue-collar§married§secondary§no§6879,0§no§no§cellular§20§jul§1,0§281,0§2§failure§
44238§35,0§management§married§tertiary§no§2374,0§yes§yes§cellular§20§jul§2,0§215,0§6§other§
44239§29,0§admin.§single§secondary§no§854,0§no§no§cellular§20§jul§5,0§95,0§1§other§
44247§27,0§admin.§single§secondary§no§125,0§no§no§cellular§21§jul§1,0§288,0§8§failure§
44251§24,0§student§single§secondary§no§1234,0§no§no§cellular§21§jul§1,0§156,0§2§success§
44255§§unemployed§single§tertiary§no§1974,0§no§no§cellular§22§jul§1,0§342,0§3§success§
44257§27,0§admin.§married§tertiary§no§2855,0§no§no§cellular§22§jul§2,0§178,0§4§success§
44258§54,0§management§divorced§tertiary§no§5475,0§no§no§cellular§22§jul§4,0§-1,0§0§unknown§
44259§38,0§management§married§tertiary§no§536,0§yes§no§cellular§22§jul§1,0§-1,0§0§unknown§
44261§41,0§blue-collar§divorced§secondary§no§663,0§yes§no§unknown§22§jul§1,0§792,0§3§other§
44274§30,0§student§single§tertiary§no§3026,0§no§no§cellular§23§jul§1,0§535,0§1§failure§
44276§29,0§management§single§tertiary§no§985,0§yes§no§cellular§23§jul§2,0§-1,0§0§unknown§
44277§30,0§services§single§secondary§no§268,0§no§no§unknown§24§jul§1,0§-1,0§0§unknown§
44281§26,0§student§single§secondary§no§3090,0§no§no§cellular§26§jul§1,0§339,0§1§failure§
44292§28,0§admin.§single§tertiary§no§313,0§no§yes§cellular§26§jul§2,0§326,0§4§failure§
44296§§self-employed§married§tertiary§no§10861,0§no§no§cellular§26§jul§2,0§259,0§3§success§
44299§33,0§services§single§unknown§no§2297,0§no§no§cellular§27§jul§1,0§-1,0§0§unknown§
44300§33,0§management§single§tertiary§no§373,0§no§yes§cellular§27§jul§1,0§180,0§4§failure§
44315§24,0§student§single§secondary§no§822,0§no§no§cellular§28§jul§2,0§-1,0§0§unknown§
44318§27,0§technician§single§secondary§no§204,0§no§no§cellular§28§jul§2,0§-1,0§0§unknown§
44321§22,0§unemployed§single§tertiary§no§993,0§no§no§cellular§28§jul§3,0§93,0§1§other§
44323§32,0§admin.§married§secondary§no§389,0§yes§no§cellular§28§jul§3,0§233,0§3§failure§
44326§§technician§married§tertiary§no§2557,0§no§no§cellular§29§jul§4,0§182,0§7§success§
44328§64,0§retired§married§secondary§no§1574,0§no§no§telephone§29§jul§3,0§-1,0§0§unknown§
44330§57,0§technician§married§tertiary§no§1181,0§no§no§cellular§29§jul§2,0§182,0§2§success§
44332§61,0§admin.§married§unknown§no§4629,0§yes§no§cellular§29§jul§3,0§183,0§2§success§
44341§69,0§technician§married§tertiary§no§482,0§no§no§cellular§29§jul§1,0§267,0§1§failure§
44343§35,0§management§single§tertiary§no§2187,0§yes§no§cellular§29§jul§1,0§174,0§13§other§
44359§31,0§services§single§tertiary§no§1626,0§no§no§unknown§31§jul§1,0§-1,0§0§unknown§
44361§35,0§self-employed§married§tertiary§no§980,0§no§no§cellular§2§aug§2,0§336,0§6§failure§
44362§80,0§retired§married§secondary§no§173,0§no§no§cellular§2§aug§3,0§-1,0§0§unknown§
44367§54,0§services§married§secondary§no§386,0§yes§no§cellular§2§aug§2,0§-1,0§0§unknown§
44369§34,0§management§married§secondary§no§369,0§no§no§cellular§2§aug§3,0§342,0§4§failure§
44371§76,0§housemaid§married§primary§no§1483,0§no§no§cellular§2§aug§4,0§-1,0§0§unknown§
44374§37,0§blue-collar§single§unknown§no§871,0§yes§no§cellular§2§aug§1,0§542,0§4§failure§
44380§33,0§student§single§unknown§no§2321,0§no§no§cellular§2§aug§1,0§109,0§4§failure§
44381§33,0§management§married§tertiary§no§7154,0§no§no§cellular§2§aug§4,0§129,0§4§other§
44382§38,0§technician§single§tertiary§no§1727,0§no§no§telephone§2§aug§2,0§185,0§6§other§
44388§38,0§management§married§tertiary§no§1199,0§no§no§cellular§3§aug§1,0§-1,0§0§unknown§
44393§48,0§housemaid§single§primary§no§46,0§no§no§cellular§3§aug§2,0§180,0§1§failure§
44394§33,0§technician§married§secondary§no§1026,0§no§no§cellular§3§aug§2,0§340,0§3§failure§
44396§42,0§management§married§tertiary§no§372,0§yes§no§cellular§3§aug§2,0§-1,0§0§unknown§
44399§34,0§admin.§married§tertiary§no§69,0§no§yes§cellular§3§aug§3,0§251,0§3§success§
44400§43,0§blue-collar§married§primary§no§2952,0§no§no§cellular§3§aug§2,0§95,0§1§other§
44402§§retired§married§secondary§no§569,0§no§no§cellular§4§aug§1,0§1,0§8§success§
44405§38,0§management§married§tertiary§no§1199,0§no§no§cellular§4§aug§1,0§1,0§1§success§
44409§30,0§services§single§tertiary§no§1788,0§no§no§cellular§4§aug§1,0§181,0§2§failure§
44411§78,0§retired§married§unknown§no§38,0§no§no§telephone§4§aug§1,0§1,0§3§other§
44415§§blue-collar§married§secondary§no§1730,0§yes§no§cellular§4§aug§2,0§92,0§4§success§
44420§32,0§management§married§tertiary§no§1812,0§no§no§cellular§4§aug§1,0§182,0§4§other§
44421§93,0§retired§married§unknown§no§775,0§no§no§cellular§4§aug§2,0§13,0§9§success§
44426§48,0§housemaid§single§primary§no§46,0§no§no§cellular§4§aug§1,0§1,0§3§success§
44428§28,0§student§single§secondary§no§970,0§no§no§telephone§4§aug§1,0§-1,0§0§unknown§
44444§53,0§management§married§tertiary§no§3591,0§yes§no§cellular§5§aug§2,0§181,0§2§other§
44445§56,0§management§divorced§tertiary§no§2037,0§no§no§cellular§5§aug§1,0§91,0§6§failure§
44449§41,0§management§married§tertiary§no§1092,0§no§no§cellular§5§aug§1,0§-1,0§0§unknown§
44455§34,0§management§single§tertiary§no§417,0§yes§no§cellular§5§aug§1,0§174,0§15§failure§
44456§21,0§entrepreneur§single§tertiary§no§2077,0§no§no§cellular§5§aug§1,0§-1,0§0§unknown§
44458§37,0§management§married§tertiary§no§2283,0§no§no§cellular§6§aug§2,0§92,0§4§success§
44460§29,0§admin.§single§tertiary§no§-197,0§no§no§unknown§6§aug§1,0§-1,0§0§unknown§
44465§22,0§student§single§secondary§no§216,0§no§no§cellular§6§aug§1,0§179,0§2§success§
44468§42,0§admin.§married§tertiary§no§1536,0§no§no§cellular§6§aug§1,0§182,0§4§failure§
44471§28,0§blue-collar§single§secondary§no§1348,0§yes§no§cellular§6§aug§2,0§-1,0§0§unknown§
44477§35,0§blue-collar§married§secondary§no§884,0§yes§no§unknown§9§aug§1,0§-1,0§0§unknown§
44483§60,0§housemaid§married§primary§no§182,0§no§no§cellular§9§aug§2,0§95,0§11§failure§
44485§28,0§management§single§tertiary§no§6791,0§no§no§telephone§9§aug§1,0§46,0§35§failure§
44486§55,0§services§married§tertiary§no§2877,0§no§no§cellular§9§aug§1,0§91,0§2§other§
44489§32,0§services§married§secondary§no§859,0§yes§no§unknown§9§aug§1,0§-1,0§0§unknown§
44493§25,0§student§single§secondary§no§348,0§no§no§cellular§10§aug§1,0§-1,0§0§unknown§
44499§§technician§married§secondary§no§473,0§no§yes§cellular§10§aug§1,0§95,0§3§success§
44505§77,0§retired§married§primary§no§2223,0§no§no§telephone§10§aug§2,0§187,0§1§success§
44514§24,0§student§single§secondary§no§1925,0§no§no§cellular§11§aug§1,0§-1,0§0§unknown§
44522§§management§married§tertiary§no§27696,0§no§no§cellular§11§aug§1,0§91,0§7§success§
44528§43,0§blue-collar§married§secondary§no§413,0§yes§no§cellular§12§aug§2,0§182,0§4§success§
44532§§blue-collar§married§secondary§no§1454,0§yes§no§cellular§12§aug§1,0§182,0§4§success§
44536§29,0§management§single§tertiary§no§266,0§no§no§cellular§12§aug§1,0§185,0§1§failure§
44541§48,0§unemployed§married§secondary§no§926,0§no§no§cellular§12§aug§2,0§178,0§10§success§
44542§28,0§management§single§tertiary§no§-62,0§no§no§unknown§12§aug§1,0§-1,0§0§unknown§
44547§44,0§technician§divorced§secondary§no§314,0§yes§no§unknown§12§aug§1,0§651,0§1§success§
44548§44,0§management§married§tertiary§no§1791,0§no§no§telephone§12§aug§1,0§182,0§2§success§
44555§§§§secondary§no§§§no§cellular§13§aug§§§6§failure§
44560§30,0§services§single§secondary§no§63,0§no§no§unknown§13§aug§1,0§-1,0§0§unknown§
44563§28,0§admin.§single§secondary§no§1408,0§no§no§cellular§13§aug§1,0§78,0§2§failure§
44564§24,0§student§single§secondary§no§1719,0§no§no§cellular§13§aug§4,0§-1,0§0§unknown§
44566§61,0§retired§married§secondary§no§523,0§no§no§cellular§13§aug§3,0§183,0§4§success§
44568§§technician§divorced§secondary§no§367,0§no§no§cellular§16§aug§2,0§-1,0§0§unknown§
44570§30,0§admin.§single§secondary§no§125,0§yes§no§cellular§16§aug§3,0§116,0§1§other§
44572§29,0§technician§single§secondary§no§113,0§no§no§cellular§16§aug§2,0§185,0§6§success§
44574§25,0§services§single§secondary§no§199,0§no§no§cellular§16§aug§2,0§95,0§3§other§
44575§29,0§management§single§tertiary§no§1673,0§no§no§cellular§16§aug§2,0§159,0§3§other§
44578§27,0§admin.§single§secondary§no§416,0§no§no§unknown§17§aug§1,0§-1,0§0§unknown§
44580§53,0§admin.§married§secondary§no§1252,0§no§no§cellular§17§aug§4,0§-1,0§0§unknown§
44581§65,0§retired§married§primary§no§1760,0§no§no§cellular§18§aug§4,0§-1,0§0§unknown§
44585§32,0§student§single§secondary§no§14,0§no§no§cellular§19§aug§3,0§136,0§1§other§
44588§30,0§admin.§single§secondary§no§28,0§no§no§unknown§20§aug§1,0§-1,0§0§unknown§
44591§22,0§services§single§unknown§no§739,0§no§no§unknown§20§aug§1,0§-1,0§0§unknown§
44594§40,0§management§single§tertiary§no§15,0§no§yes§unknown§22§aug§1,0§-1,0§0§unknown§
44595§34,0§technician§single§tertiary§no§2481,0§no§no§cellular§23§aug§16,0§192,0§14§other§
44597§28,0§services§single§secondary§no§2685,0§no§yes§unknown§24§aug§1,0§-1,0§0§unknown§
44598§29,0§student§single§secondary§no§1124,0§no§no§unknown§24§aug§1,0§-1,0§0§unknown§
44603§45,0§services§single§secondary§no§955,0§no§no§unknown§27§aug§1,0§-1,0§0§unknown§
44605§30,0§blue-collar§married§primary§no§124,0§yes§no§unknown§28§aug§1,0§775,0§2§other§
44616§34,0§admin.§single§tertiary§no§625,0§no§yes§unknown§31§aug§1,0§-1,0§0§unknown§
44619§§management§married§tertiary§no§474,0§no§no§cellular§31§aug§5,0§186,0§3§other§
44623§60,0§management§married§tertiary§no§315,0§no§no§cellular§1§sep§1,0§183,0§3§success§
44627§§services§single§secondary§no§-205,0§no§no§cellular§1§sep§1,0§579,0§1§failure§
44628§33,0§admin.§married§secondary§no§394,0§yes§no§telephone§1§sep§3,0§-1,0§0§unknown§
44631§55,0§admin.§married§secondary§no§8304,0§no§no§cellular§1§sep§1,0§92,0§1§success§
44632§65,0§retired§married§primary§no§308,0§no§no§cellular§1§sep§1,0§-1,0§0§unknown§
44635§77,0§retired§married§primary§no§1492,0§no§no§telephone§1§sep§1,0§208,0§2§other§
44636§§management§married§tertiary§no§1113,0§no§no§cellular§1§sep§2,0§183,0§2§success§
44640§29,0§blue-collar§married§secondary§no§3310,0§no§no§cellular§1§sep§1,0§91,0§4§failure§
44642§§management§single§tertiary§no§992,0§no§yes§cellular§1§sep§1,0§-1,0§0§unknown§
44643§33,0§admin.§single§tertiary§no§272,0§yes§no§cellular§1§sep§2,0§92,0§3§success§
44648§30,0§self-employed§married§tertiary§no§805,0§yes§no§unknown§1§sep§1,0§478,0§2§other§
44649§28,0§services§married§secondary§no§4,0§yes§no§unknown§2§sep§1,0§-1,0§0§unknown§
44651§32,0§student§single§secondary§no§5836,0§no§no§cellular§2§sep§2,0§493,0§2§failure§
44654§53,0§blue-collar§married§secondary§no§1797,0§yes§no§cellular§2§sep§3,0§94,0§5§other§
44656§§management§married§secondary§no§1128,0§no§no§cellular§2§sep§1,0§290,0§3§other§
44657§63,0§unknown§married§secondary§no§367,0§no§no§telephone§2§sep§1,0§182,0§7§failure§
44662§21,0§student§single§secondary§no§357,0§no§no§cellular§2§sep§3,0§-1,0§0§unknown§
44664§25,0§student§single§secondary§no§2975,0§no§no§cellular§2§sep§2,0§-1,0§0§unknown§
44672§32,0§management§married§tertiary§no§6138,0§no§no§cellular§3§sep§3,0§36,0§11§success§
44676§35,0§admin.§married§secondary§no§1204,0§no§no§cellular§3§sep§2,0§-1,0§0§unknown§
44682§§unknown§married§primary§no§159,0§no§no§unknown§4§sep§1,0§-1,0§0§unknown§
44690§§management§married§tertiary§no§0,0§yes§no§cellular§6§sep§2,0§125,0§6§failure§
44691§29,0§unemployed§single§unknown§no§1584,0§no§no§cellular§6§sep§1,0§-1,0§0§unknown§
44692§32,0§entrepreneur§married§secondary§no§390,0§no§no§cellular§6§sep§1,0§280,0§1§failure§
44695§65,0§admin.§married§secondary§no§952,0§no§no§cellular§6§sep§1,0§96,0§1§success§
44702§166,0§retired§divorced§primary§no§1680,0§no§no§telephone§32§sep§5,0§97,0§3§other§
44713§34,0§unemployed§single§unknown§no§517,0§no§no§cellular§6§sep§3,0§-1,0§0§unknown§
44714§27,0§management§single§tertiary§no§592,0§no§no§cellular§7§sep§1,0§221,0§3§failure§
44719§31,0§technician§married§tertiary§no§3192,0§yes§no§cellular§7§sep§1,0§186,0§2§failure§
44720§28,0§management§single§tertiary§no§890,0§yes§no§cellular§7§sep§1,0§-1,0§0§unknown§
44721§36,0§admin.§married§secondary§no§194,0§yes§yes§cellular§7§sep§3,0§-1,0§0§unknown§
44724§§retired§married§primary§no§56,0§no§no§cellular§7§sep§3,0§-1,0§0§unknown§
44725§32,0§blue-collar§married§primary§no§1644,0§no§no§cellular§7§sep§3,0§102,0§5§other§
44727§38,0§admin.§married§secondary§no§0,0§yes§no§cellular§8§sep§1,0§92,0§3§success§
44733§23,0§student§single§tertiary§no§508,0§no§no§cellular§8§sep§1,0§92,0§1§failure§
44734§24,0§student§single§secondary§no§689,0§no§no§cellular§8§sep§1,0§-1,0§0§unknown§
44735§77,0§retired§married§primary§no§1385,0§no§no§telephone§8§sep§4,0§-1,0§0§unknown§
44739§80,0§retired§married§secondary§no§8304,0§no§no§telephone§8§sep§3,0§91,0§13§success§
44740§37,0§management§single§tertiary§no§698,0§no§no§cellular§8§sep§2,0§-1,0§0§unknown§
44742§33,0§blue-collar§married§secondary§no§983,0§no§no§unknown§8§sep§1,0§-1,0§0§unknown§
44743§64,0§unknown§married§unknown§no§2799,0§no§no§telephone§9§sep§4,0§-1,0§0§unknown§
44746§62,0§retired§married§secondary§no§2801,0§yes§yes§cellular§9§sep§1,0§183,0§1§success§
44747§84,0§retired§married§tertiary§no§4761,0§no§no§telephone§9§sep§1,0§92,0§3§failure§
44749§37,0§unemployed§married§secondary§no§1978,0§no§no§cellular§9§sep§1,0§182,0§1§success§
44752§31,0§management§married§tertiary§no§877,0§no§no§cellular§9§sep§1,0§92,0§8§success§
44755§33,0§unemployed§single§secondary§no§2066,0§no§yes§cellular§9§sep§1,0§749,0§2§failure§
44757§64,0§retired§married§primary§no§48,0§no§no§cellular§9§sep§3,0§92,0§1§success§
44758§48,0§technician§married§primary§no§235,0§no§no§cellular§9§sep§2,0§191,0§3§success§
44763§69,0§retired§married§unknown§no§426,0§no§no§telephone§10§sep§2,0§185,0§2§success§
44764§§management§single§tertiary§no§187,0§no§no§cellular§10§sep§1,0§93,0§2§success§
44766§24,0§admin.§single§secondary§no§166,0§no§no§cellular§10§sep§2,0§-1,0§0§unknown§
44768§197,0§retired§divorced§primary§no§4565,0§no§no§cellular§32§sep§2,0§-1,0§0§unknown§
44770§52,0§unemployed§married§secondary§no§1416,0§no§no§cellular§13§sep§3,0§187,0§3§success§
44772§47,0§technician§married§secondary§no§1740,0§yes§no§cellular§13§sep§1,0§490,0§1§failure§
44774§31,0§management§single§tertiary§no§147,0§no§no§cellular§13§sep§3,0§96,0§5§success§
44777§22,0§student§single§secondary§no§224,0§no§no§unknown§14§sep§1,0§-1,0§0§unknown§
